Unnamed: 0,school,classname,subject,CorrectAnswers,TotalAnswers,CorrectAdaptive,TotalAdaptiveAnswers,TotalAdaptiveExercises,TotalExercises,periode.van,periode.tot,lln.ID.school,van.tot
0,148,1996922,Automatiseren (extra),21.0,25.0,0.0,0.0,0.0,21.0,aug 2014,jan 2015,3566797,aug2014|jan2015
1,148,1996922,Rekenen,295.0,492.0,64.0,77.0,65.0,340.0,aug 2014,jan 2015,3566797,aug2014|jan2015
2,148,1996922,Spelling,296.0,341.0,36.0,47.0,39.0,307.0,aug 2014,jan 2015,3566797,aug2014|jan2015
3,148,1996922,Taal,197.0,334.0,58.0,70.0,59.0,205.0,aug 2014,jan 2015,3566797,aug2014|jan2015
4,148,1996922,Woordenschat (extra),30.0,48.0,15.0,19.0,15.0,30.0,aug 2014,jan 2015,3566797,aug2014|jan2015
5,148,1996922,Automatiseren (extra),92.0,97.0,0.0,0.0,0.0,92.0,aug 2014,jan 2015,3295555,aug2014|jan2015
6,148,1996922,Rekenen,368.0,422.0,84.0,103.0,87.0,372.0,aug 2014,jan 2015,3295555,aug2014|jan2015
7,148,1996922,Spelling,632.0,710.0,55.0,82.0,58.0,641.0,aug 2014,jan 2015,3295555,aug2014|jan2015
8,148,1996922,Taal,312.0,419.0,95.0,141.0,105.0,323.0,aug 2014,jan 2015,3295555,aug2014|jan2015
9,148,1996922,Woordenschat (extra),62.0,72.0,15.0,19.0,18.0,65.0,aug 2014,jan 2015,3295555,aug2014|jan2015
10,148,7615488,Automatiseren (extra),112.0,127.0,0.0,0.0,0.0,112.0,aug 2014,jan 2015,2453846,aug2014|jan2015
11,148,7615488,Rekenen,1140.0,1568.0,114.0,192.0,121.0,1191.0,aug 2014,jan 2015,2453846,aug2014|jan2015
12,148,7615488,Spelling,1582.0,1886.0,109.0,173.0,125.0,1287.0,aug 2014,jan 2015,2453846,aug2014|jan2015
13,148,7615488,Taal,1327.0,1686.0,151.0,223.0,163.0,1349.0,aug 2014,jan 2015,2453846,aug2014|jan2015
14,148,7615488,Woordenschat (extra),38.0,59.0,0.0,0.0,0.0,39.0,aug 2014,jan 2015,2453846,aug2014|jan2015
15,148,7615488,Automatiseren (extra),91.0,107.0,10.0,14.0,11.0,92.0,aug 2014,jan 2015,7706368,aug2014|jan2015
16,148,7615488,Rekenen,809.0,1381.0,166.0,276.0,192.0,922.0,aug 2014,jan 2015,7706368,aug2014|jan2015
17,148,7615488,Spelling,867.0,1131.0,91.0,144.0,105.0,822.0,aug 2014,jan 2015,7706368,aug2014|jan2015
18,148,7615488,Taal,1504.0,1908.0,300.0,456.0,340.0,1557.0,aug 2014,jan 2015,7706368,aug2014|jan2015
19,148,7615488,Woordenschat (extra),22.0,25.0,0.0,0.0,0.0,22.0,aug 2014,jan 2015,7706368,aug2014|jan2015
